task_id,solution,base_status,plus_status,base_fail_tests,plus_fail_tests,gt_solution,question_prompt,entry_point
Mbpp/59,"def is_octagonal(n):
    """"""Check if a number is an octagonal number.""""""
    # An octagonal number is of the form 2*1^2 + 1*3^2 = 1*2 + 1*9 = 2 + 9 = 11n + 2
    return (n * 2) + (n * (n - 1)) // 2 == 11 * (n + 1) + 2",fail,fail,[[5]],[[100]],"
def is_octagonal(n): 
	return 3 * n * n - 2 * n 
","""""""
Write a function to find the nth octagonal number.
assert is_octagonal(5) == 65
""""""
",is_octagonal
Mbpp/11,"def remove_Occ(string, char):
    """"""
    Remove the first and last occurrences of a given character from the string.
    
    Args:
        string (str): The input string.
        char (char): The character to be removed from the string.
        
    Returns:
        str: The string after removing the first and last occurrences of the given character.
    """"""
    # Check if the string is empty or the character is not present
    if not string or char not in string:
        return string
    
    # Remove the first and last occurrences
    string = string[1:-1]
    
    return string",fail,fail,"[['hello', 'l']]","[['worlda', 'a']]","
def remove_Occ(s,ch): 
    s = s.replace(ch, '', 1)
    s = s[::-1].replace(ch, '', 1)[::-1]
    return s 
","""""""
Write a python function to remove first and last occurrence of a given character from the string.
assert remove_Occ(""hello"",""l"") == ""heo""
""""""
",remove_Occ
Mbpp/7,"def find_char_long(text):
    # Split the text into words
    words = text.split()
    
    # Filter words that are at least 4 characters long
    long_words = [word for word in words if len(word) >= 4]
    
    # Convert the list to a set for unique words
    unique_long_words = set(long_words)
    
    return unique_long_words",pass,fail,[],[['This is a very long string with no words that are at least 4 characters long.']],"
import re
def find_char_long(text):
  return (re.findall(r""\b\w{4,}\b"", text))
","""""""
Write a function to find all words which are at least 4 characters long in a string.
assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])
""""""
",find_char_long
Mbpp/69,"def is_sublist(sublist, main_list):
    """"""
    Check if the given sublist is a subset of the main list.
    
    Args:
        sublist (list): The sublist to be checked.
        main_list (list): The main list to check against.
        
    Returns:
        bool: True if sublist is a subset of main_list, False otherwise.
    """"""
    # Convert both lists to sets to efficiently check for subset relationship
    sublist_set = set(sublist)
    main_list_set = set(main_list)
    
    # Check if every element of the sublist_set is in main_list_set
    return sublist_set.issubset(main_list_set)",fail,fail,"[[[2, 4, 3, 5, 7], [4, 3]]]","[[[], [1]]]","
def is_sublist(l, s):
	if len(l) < len(s):
		return False
	return any(l[i:i+len(s)] == s for i in range(len(l)-len(s)+1))
","""""""
Write a function to check whether a list contains the given sublist or not.
assert is_sublist([2,4,3,5,7],[3,7])==False
""""""
",is_sublist
Mbpp/19,"def has_duplicates(lst):
    # Create an empty set to store unique elements
    unique_elements = set()
    
    # Iterate through the list
    for element in lst:
        # If the element is already in the set, it's a duplicate
        if element in unique_elements:
            return True
        # Otherwise, add it to the set
        unique_elements.add(element)
    
    # If we've gone through the entire list without finding duplicates
    return False

# Test the function
assert has_duplicates([1, 2, 3, 4, 5]) == False
assert has_duplicates([1, 1, 2, 3, 4, 5]) == True",fail,fail,[],[],"
def test_duplicate(arraynums):
    return len(arraynums) != len(set(arraynums))
","""""""
Write a function to find whether a given array of integers contains any duplicate element.
assert test_duplicate(([1,2,3,4,5]))==False
""""""
",test_duplicate
Mbpp/14,"def find_Volume(base, height, length):
    # The volume V of a triangular prism is given by the formula:
    # V = base * height * length
    return base * height * length",fail,fail,"[[10, 8, 6]]","[[100, 50, 10]]","
def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) 
","""""""
Write a python function to find the volume of a triangular prism.
assert find_Volume(10,8,6) == 240
""""""
",find_Volume
Mbpp/67,"def bell_number(n):
    """"""Calculate the nth Bell number.""""""
    bell = [1]  # Initialize with the first Bell number (B0 = 1)
    for i in range(1, n + 1):
        bell.append(sum(bell[:i]))
    return bell[n]",fail,fail,[[10]],[[100]],"
def bell_number(n):   
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1): 
        bell[i][0] = bell[i-1][i-1]  
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1]   
    return bell[n][0] 
","""""""
Write a function to find the number of ways to partition a set of Bell numbers.
assert bell_number(2)==2
""""""
",bell_number
Mbpp/72,"def dif_Square(n):
    """"""
    Check if a given number can be represented as the difference of two squares.
    
    Args:
        n (int): The number to be checked.
        
    Returns:
        bool: True if n can be represented as the difference of two squares, False otherwise.
    """"""
    # Check if n is a perfect square
    root_n = int(n ** 0.5)
    if root_n * root_n != n:
        return False
    
    # Check if (root_n + x) ** 2 - (root_n - x) ** 2 = n
    # Simplifies to (2 * root_n * x) ** 2 = n
    # Therefore, x must be an integer such that n / (2 * root_n ** 2) is an integer
    for x in range(-root_n, root_n + 1):
        if (n / (2 * root_n ** 2)) % 1 == 0:
            return True
    
    return False",fail,fail,[[5]],[[991]],"
def dif_Square(n): 
    # see https://www.quora.com/Which-numbers-can-be-expressed-as-the-difference-of-two-squares
    return n % 4 != 2
","""""""
Write a python function to check whether the given number can be represented as the difference of two squares or not.
assert dif_Square(5) == True
""""""
",dif_Square
Mbpp/93,"def power(a, b):
    """"""
    Calculate the value of 'a' to the power 'b'.
    """"""
    if b == 0:
        return 1  # Handling the case where any number to the power 0 is 1
    elif b == 1:
        return a  # Any number to the power 1 is itself
    else:
        result = 1
        while b > 0:
            if b % 2 == 1:  # odd number
                result *= a
            a *= a  # square the base
            b //= 2  # divide the exponent by 2
        return result",pass,fail,[],"[[4, -2]]","
def power(a, b):
	return a ** b
","""""""
Write a function to calculate the value of 'a' to the power 'b'.
assert power(3,4) == 81
""""""
",power
Mbpp/84,"def sequence(n):
    if n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        a, b = 0, 1
        for _ in range(2, n):
            a, b = b, a + b
        return b",fail,fail,[[10]],[[100]],"
def sequence(n): 
	if n == 1 or n == 2: 
		return 1
	seq = [0] * (n + 1)
	seq[1] = seq[2] = 1
	for i in range(3, n + 1):
		seq[i] = seq[seq[i - 1]] + seq[i - seq[i - 1]]
	return seq[n]
","""""""
Write a function to find the nth number in the newman conway sequence.
assert sequence(10) == 6
""""""
",sequence
Mbpp/86,"def centered_hexagonal_number(n):
    """"""
    Calculate the nth centered hexagonal number.
    
    Args:
        n (int): The position of the centered hexagonal number to calculate.
        
    Returns:
        int: The nth centered hexagonal number.
    """"""
    # Calculate the nth centered hexagonal number using the formula:
    # C(n) = 3 * n * (7 * n - 1) + 1
    return 3 * n * (7 * n - 1) + 1",fail,fail,[[10]],[[1000000]],"
def centered_hexagonal_number(n):
  return 3 * n * (n - 1) + 1
","""""""
Write a function to find nth centered hexagonal number.
assert centered_hexagonal_number(10) == 271
""""""
",centered_hexagonal_number
Mbpp/113,"def check_integer(s):
    """"""
    Check if a string represents an integer.
    """"""
    try:
        int(s)
        return True
    except ValueError:
        return False",pass,fail,[],[['']],"
def check_integer(text):
 text = text.strip()
 if len(text) < 1:
    return None
 else:
    if text[0] in '+-':
        text = text[1:]
    return text.isdigit()
","""""""
Write a function to check if a string represents an integer or not.
assert check_integer(""python"")==False
""""""
",check_integer
Mbpp/95,"def find_min_length(list_of_lists):
    """"""
    Finds the length of the smallest list in a list of lists.

    :param list_of_lists: A list where each element is a list.
    :return: The length of the smallest list in list_of_lists.
    :assertion: assert find_min_length([[1],[1,2]]) == 1
    """"""
    min_length = float('inf')
    for sublist in list_of_lists:
        if len(sublist) < min_length:
            min_length = len(sublist)
    return min_length

# Test case
assert find_min_length([[1],[1,2]]) == 1",fail,fail,[],[],"
def Find_Min_Length(lst):  
    minLength = min(len(x) for x in lst )
    return minLength 
","""""""
Write a python function to find the length of the smallest list in a list of lists.
assert Find_Min_Length([[1],[1,2]]) == 1
""""""
",Find_Min_Length
Mbpp/131,"def reverse_vowels(string):
    vowels = 'aeiou'
    reversed_vowels = ''.join([vowel[::-1] if vowel in vowels else vowel for vowel in string])
    return reversed_vowels",fail,fail,[['USA']],[['FIswIZeBBCBDCBDFCBCDFCCGBCDCBDFGCBCDFCFDBFCCDCBDFCD']],"
def reverse_vowels(str1):
	is_vowel = lambda x: x in 'aeiouAEIOU'
	pos = [i for i, c in enumerate(str1) if is_vowel(c)]
	return ''.join(c if not is_vowel(c) else str1[pos.pop()] for c in str1)
		
","""""""
Write a python function to reverse only the vowels of a given string (where y is not a vowel).
assert reverse_vowels(""Python"") == ""Python""
""""""
",reverse_vowels
Mbpp/109,"def odd_Equivalent(binary_str, rotations):
    # Convert binary string to integer
    num = int(binary_str, 2)
    
    # Check if the number is odd
    if num % 2 != 0:
        return 1  # There is exactly one odd number (the number itself)
    
    # Calculate the total number of odd numbers after rotations
    # Each rotation shifts the bits to the left, which affects the parity (odd/even nature) of the number
    # A single bit rotation changes the parity if the rotation count is odd
    # For example, rotating '0011' (3 in binary) by 1 gives '1100' (4 in decimal), which is even
    
    # If the number of rotations is odd, the parity will change for at least one number
    # If the number of rotations is even, the parity will remain the same for all numbers
    
    # If the number of rotations is odd, there will be exactly one odd number after rotation
    if rotations % 2 != 0:
        return 1
    else:
        return 0",fail,fail,"[['011001', 6]]","[['1100110011', 5]]","
def odd_Equivalent(s,n): 
    count=0
    for i in range(0,n): 
        if (s[i] == '1'): 
            count = count + 1
    return count 
","""""""
Write a python function to find the number of numbers with an odd value when rotating a binary string the given number of times.
assert odd_Equivalent(""011001"",6) == 3
""""""
",odd_Equivalent
Mbpp/99,"def decimal_to_binary(decimal_number):
    if decimal_number == 0:
        return '0'
    
    binary = ''
    while decimal_number > 0:
        remainder = decimal_number % 2
        binary = str(remainder) + binary
        decimal_number = decimal_number // 2
    return binary.lstrip('0')",pass,fail,[],[[-5]],"
def decimal_to_binary(n): 
    return bin(n).replace(""0b"","""") 
","""""""
Write a function to convert the given decimal number to its binary equivalent, represented as a string with no leading zeros.
assert decimal_to_binary(8) == '1000'
""""""
",decimal_to_binary
Mbpp/96,"def divisor(n):
    """"""Return the number of divisors of the given integer n.""""""
    divisors = 0
    for i in range(1, int(n ** 0.5) + 1):
        if n % i == 0:
            divisors += 1
    return divisors",fail,fail,[[15]],[[79337]],"
def divisor(n):
  return sum(1 for i in range(1, n + 1) if n % i == 0)
","""""""
Write a python function to find the number of divisors of a given integer.
assert divisor(15) == 4
""""""
",divisor
Mbpp/102,"def snake_to_camel(snake_case_string):
    # Split the snake case string into words
    words = snake_case_string.split('_')
    
    # Capitalize the first letter of each word and join them together
    camel_case_string = ''.join(word.capitalize() for word in words)
    
    return camel_case_string",pass,fail,[],[['___python_program']],"
def snake_to_camel(word):
    return ''.join(x.capitalize() or '_' for x in word.split('_'))
","""""""
Write a function to convert a snake case string to camel case string.
assert snake_to_camel('python_program')=='PythonProgram'
""""""
",snake_to_camel
Mbpp/94,"def index_minimum(tuples):
    # Sort the tuples based on the second element (index 1)
    sorted_tuples = sorted(tuples, key=lambda x: x[1])
    
    # Return the first tuple from the sorted list
    return sorted_tuples[0]",fail,fail,"[[[['Rash', 143], ['Manjeet', 200], ['Varsha', 100]]]]","[[[['John', 100]]]]","
from operator import itemgetter 
def index_minimum(test_list):
  res = min(test_list, key = itemgetter(1))[0]
  return (res) 
","""""""
Given a list of tuples, write a function that returns the first value of the tuple with the smallest second value.
assert index_minimum([('Rash', 143), ('Manjeet', 200), ('Varsha', 100)]) == 'Varsha'
""""""
",index_minimum
Mbpp/129,"def is_magic_square(matrix):
    # Check if the matrix is a square matrix (number of rows == number of columns)
    if len(matrix) != len(matrix[0]):
        return False

    # Calculate the sum of each row and column
    row_sums = [sum(row) for row in matrix]
    col_sums = [sum(column) for column in zip(*matrix)]

    # A matrix is a magic square if all row sums, column sums, and the diagonal sums are equal
    return len(set(row_sums)) == 1 and len(set(col_sums)) == 1 and sum(matrix[i][i] for i in range(len(matrix))) == row_sums[0] and sum(matrix[i][len(matrix)-i-1] for i in range(len(matrix))) == col_sums[0]

# Test the function with the provided example
assert is_magic_square([[7, 12, 1, 14], [2, 13, 8, 11], [16, 3, 10, 5], [9, 6, 15, 4]]) == True",fail,fail,[],[],"
def magic_square_test(my_matrix):
    s = sum(my_matrix[0])
    # row
    if any(sum(row) != s for row in my_matrix):
        return False
    # column
    if any(sum(row[i] for row in my_matrix) != s for i in range(len(my_matrix[0]))):
        return False
    # diagonal
    if sum(my_matrix[i][i] for i in range(len(my_matrix))) != s:
        return False
    # anti-diagonal
    if sum(my_matrix[i][len(my_matrix) - i - 1] for i in range(len(my_matrix))) != s:
        return False
    return True
","""""""
Write a function to calculate whether the matrix is a magic square.
assert magic_square_test([[7, 12, 1, 14], [2, 13, 8, 11], [16, 3, 10, 5], [9, 6, 15, 4]])==True
""""""
",magic_square_test
Mbpp/90,"def len_longest_word(words):
    """"""
    Returns the length of the longest word in the given list.
    
    Args:
    words (list): A list of strings representing words.
    
    Returns:
    int: The length of the longest word in the list.
    """"""
    if not words:
        return 0
    
    longest_length = 0
    for word in words:
        if len(word) > longest_length:
            longest_length = len(word)
    
    return longest_length

# Test the function
assert len_longest_word([""python"", ""PHP"", ""bigdata""]) == 7",fail,fail,[],[],"
def len_log(list1):
    return max(len(x) for x in list1)
","""""""
Write a python function to find the length of the longest word.
assert len_log([""python"",""PHP"",""bigdata""]) == 7
""""""
",len_log
Mbpp/74,"def is_samepatterns(patterns1, patterns2):
    """"""
    Check if two lists follow the same pattern.
    
    Args:
        patterns1 (list): A list of strings representing the first pattern.
        patterns2 (list): A list of strings representing the second pattern.
        
    Returns:
        bool: True if both patterns follow the same sequence, False otherwise.
    """"""
    # Sort both lists to ensure comparison is case-insensitive
    patterns1.sort()
    patterns2.sort()
    
    # Compare the sorted lists
    return patterns1 == patterns2",fail,fail,"[[['red', 'green', 'green'], ['a', 'b', 'b']]]","[[['red', 'green', 'blue'], ['a', 'b', 'c']]]","
def is_samepatterns(colors, patterns):    
    if len(colors) != len(patterns):
        return False    
    pattern_color_dict = {pattern: set() for pattern in patterns}
    for color, pattern in zip(colors, patterns):
        pattern_color_dict[pattern].add(color)
    return all(len(pattern_color_dict[pattern]) == 1 for pattern in patterns)
","""""""
Write a function to check whether it follows the sequence given in the patterns array.
assert is_samepatterns([""red"",""green"",""green""], [""a"", ""b"", ""b""])==True
""""""
",is_samepatterns
Mbpp/124,"import math
def angle_complex(z):
    """"""
    Calculate the angle (in radians) of a complex number z.
    
    Args:
        z (complex): A complex number represented as a + bj.
        
    Returns:
        float: The angle in radians.
    """"""
    # Extract the real and imaginary parts
    real = z.real
    imag = z.imag
    
    # Calculate the magnitude (modulus) of the complex number
    magnitude = math.sqrt(real**2 + imag**2)
    
    # Calculate the angle using the arctangent of the imaginary part over the real part
    angle = math.atan2(imag, real)
    
    return angle",fail,fail,"[['0.0', '1j']]","[['0.0', '0j']]","
import cmath
def angle_complex(a,b):
  angle=cmath.phase(a+b)
  return angle
","""""""
Write a function to get the angle of a complex number.
assert math.isclose(angle_complex(0,1j), 1.5707963267948966, rel_tol=0.001)
""""""
",angle_complex
Mbpp/119,"def find_single_element(arr):
    # Initialize a dictionary to keep track of element counts
    element_counts = {}
    
    # Iterate through the array
    for num in arr:
        # If the element is not in the dictionary, add it with a count of 1
        if num not in element_counts:
            element_counts[num] = 1
        # If the element is already in the dictionary, increment its count
        else:
            element_counts[num] += 1
    
    # The element that appears only once is the key with a count of 1
    for num, count in element_counts.items():
        if count == 1:
            return num

    # If no such element is found, return None
    return None

# Test the function with the provided example
assert find_single_element([1, 1, 2, 2, 3]) == 3",fail,fail,[],[],"
def search(arr):
    n = len(arr)
    XOR = 0
    for i in range(n) :
        XOR = XOR ^ arr[i]
    return (XOR)
","""""""
Write a python function to find the element that appears only once in a sorted array.
assert search([1,1,2,2,3]) == 3
""""""
",search
Mbpp/125,"def find_length(binary_string):
    # Initialize counters for 0s and 1s
    count_0 = 0
    count_1 = 0
    
    # Iterate through the binary string
    for digit in binary_string:
        if digit == '0':
            count_0 += 1
        else:
            count_1 += 1
    
    # Calculate the maximum difference between counts of 0s and 1s
    max_diff = abs(count_0 - count_1)
    
    return max_diff",fail,fail,[['11000010001']],[['0000000011111111']],"
def find_length(string): 
	current_sum = 0
	max_sum = 0
	for c in string: 
		current_sum += 1 if c == '0' else -1
		if current_sum < 0: 
			current_sum = 0
		max_sum = max(current_sum, max_sum) 
	return max_sum
","""""""
Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.
assert find_length(""11000010001"") == 6
""""""
",find_length
Mbpp/92,"def is_undulating(num):
    """"""
    Check if the given number is undulating.
    
    An undulating number is a number that, when its digits are read
    from left to right, rises and falls (i.e., increases and then decreases)
    at least once.
    
    Args:
        num (int): The number to be checked for undulating property.
        
    Returns:
        bool: True if the number is undulating, False otherwise.
    """"""
    # Convert the number to a string to easily access each digit
    num_str = str(num)
    
    # Initialize a flag to keep track of whether the number is undulating
    is_undulating = False
    
    # Iterate over each digit in the number
    for i in range(len(num_str)):
        # Check if the current digit is greater than the next digit
        if int(num_str[i]) > int(num_str[i + 1]):
            # If true, the number is undulating, so update the flag
            is_undulating = True
        else:
            # If the current digit is not greater than the next digit,
            # the number is not undulating, so reset the flag
            is_undulating = False
    return is_undulating",fail,fail,[[1212121]],[[2121212121212121]],"
def is_undulating(n): 
	digits = [int(digit) for digit in str(n)]
	if len(set(digits)) != 2:
		return False
	return all(a != b for a, b in zip(digits, digits[1:]))
","""""""
Write a function to check whether the given number is undulating or not.
assert is_undulating(1212121) == True
""""""
",is_undulating
Mbpp/68,"def is_Monotonic(arr):
    """"""
    Check if the given array is monotonic.
    
    Args:
        arr (list): The input array.
        
    Returns:
        bool: True if the array is monotonic (either all increasing or all decreasing),
              False otherwise.
    """"""
    increasing = all(arr[i] < arr[i + 1] for i in range(len(arr) - 1))
    decreasing = all(arr[i] > arr[i + 1] for i in range(len(arr) - 1))
    
    return increasing or decreasing",fail,fail,"[[[6, 5, 4, 4]]]","[[[False, False, False]]]","
def is_Monotonic(A): 
    return all(a <= b for a, b in zip(A, A[1:])) or all(a >= b for a, b in zip(A, A[1:]))
","""""""
Write a python function to check whether the given array is monotonic or not.
assert is_Monotonic([6, 5, 4, 4]) == True
""""""
",is_Monotonic
Mbpp/126,"def sum_common_divisors(a, b):
    # Function to find all divisors of a number
    def find_divisors(n):
        divisors = []
        for i in range(1, n + 1):
            if n % i == 0:
                divisors.append(i)
        return divisors

    # Find divisors of both numbers
    divisors_a = find_divisors(a)
    divisors_b = find_divisors(b)

    # Find common divisors
    common_divisors = set(divisors_a).intersection(divisors_b)

    # Calculate the sum of common divisors
    sum_common = sum(common_divisors)

    return sum_common

# Test the function with the given example
assert sum_common_divisors(10, 15) == 6",fail,fail,[],[],"
import math
def sum(a,b): 
    sum = 0
    n = math.gcd(a, b)
    N = int(math.sqrt(n)) + 1
    for i in range (1, N): 
        if (n % i == 0): 
            sum += i
            if (n / i != i): 
                sum += (n / i)
    return sum
","""""""
Write a python function to find the sum of common divisors of two given numbers.
assert sum(10,15) == 6
""""""
",sum
Mbpp/235,"def even_bit_set_number(n):
    """"""
    Sets all even bits of a given number.

    :param n: int
    :return: int
    """"""
    # Convert the number to binary and filter only the even bits (0s)
    even_bits = '0' * (n // 2) + '1' * (n % 2)
    return int(even_bits, 2)",fail,fail,[[10]],[[999999999]],"
def even_bit_set_number(n): 
    mask = 2
    while mask < n:
        n |= mask
        mask <<= 2
    return n
","""""""
Write a python function to set all even bits of a given number.
assert even_bit_set_number(10) == 10
""""""
",even_bit_set_number
Mbpp/105,"def count_true_booleans(lst):
    """"""
    Count the number of True values in the given list.
    
    :param lst: List of booleans
    :return: Integer representing the count of True values
    """"""
    return sum(1 for value in lst if value is True)

# Test case
assert count([True, False, True]) == 2",fail,fail,[],[],"
def count(lst):   
    return sum(lst) 
","""""""
Write a python function to count true booleans in the given list.
assert count([True,False,True]) == 2
""""""
",count
